
out\HighwayEnv\DQNAgent\run_20201220-005938_32224_exp_merge_600,exp_merge_600 similar to 600_Base with initial_position= 85 and random_offset_merging= 5 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-005947_17720_exp_merge_600,exp_merge_600 similar to 600_Base with initial_position= 85 and random_offset_merging= 5 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-010002_8288_exp_merge_601,exp_merge_601 similar to 600_Base with initial_position= 85 and random_offset_merging= 5 and speed= 22
out\HighwayEnv\DQNAgent\run_20201220-010018_31336_exp_merge_602,exp_merge_602 similar to 600_Base with initial_position= 85 and random_offset_merging= 10 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-010046_2424_exp_merge_609,exp_merge_609 similar to 600_Base with initial_position= 90 and random_offset_merging= 10 and speed= 22
out\HighwayEnv\DQNAgent\run_20201220-010106_33060_exp_merge_610,exp_merge_610 similar to 600_Base with initial_position= 90 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-010120_31012_exp_merge_611,exp_merge_611 similar to 600_Base with initial_position= 90 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201220-010154_23936_exp_merge_612,exp_merge_612 similar to 600_Base with initial_position= 95 and random_offset_merging= 5 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-230749_26476_exp_merge_613,exp_merge_613 similar to 600_Base with initial_position= 95 and random_offset_merging= 5 and speed= 22
out\HighwayEnv\DQNAgent\run_20201220-230823_10096_exp_merge_614,exp_merge_614 similar to 600_Base with initial_position= 95 and random_offset_merging= 10 and speed= 20
out\HighwayEnv\DQNAgent\run_20201220-230836_30696_exp_merge_615,exp_merge_615 similar to 600_Base with initial_position= 95 and random_offset_merging= 10 and speed= 22
out\HighwayEnv\DQNAgent\run_20201220-230850_19720_exp_merge_616,exp_merge_616 similar to 600_Base with initial_position= 95 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201221-064457_15892_exp_merge_617,exp_merge_617 similar to 600_Base with initial_position= 95 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201221-235231_11520_exp_merge_700,exp_merge_700 similar to 700_Base with initial_position= 85 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201221-235242_34688_exp_merge_701,exp_merge_701 similar to 700_Base with initial_position= 85 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201221-235304_23196_exp_merge_702,exp_merge_702 similar to 700_Base with initial_position= 85 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201221-235314_25476_exp_merge_703,exp_merge_703 similar to 700_Base with initial_position= 90 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201221-235327_28856_exp_merge_704,exp_merge_704 similar to 700_Base with initial_position= 90 and random_offset_merging= 15 and speed= 22
