out\HighwayEnv\DQNAgent\train\run_20210217-234058_23524_exp_merge_IROS_3000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210217-234312_19700_exp_merge_IROS_4011,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210217-234840_12544_exp_merge_IROS_6000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210217-234905_14648_exp_merge_IROS_6000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210217-235019_10488_exp_merge_IROS_6000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210217-235137_18152_exp_merge_IROS_6001,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210217-235247_16852_exp_merge_IROS_6002,"exp_merge_4016 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210217-235717_3976_exp_merge_IROS_6003,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210218-000005_23288_exp_merge_IROS_6003,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210218-001412_15032_exp_merge_IROS_6000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210218-001426_15612_exp_merge_IROS_6001,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210218-001604_7348_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210218-082756_15032_exp_merge_IROS_6000-test,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\test\run_20210218-084033_15612_exp_merge_IROS_6001-test,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210218-110045_17352_exp_merge_IROS_6005,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\train\run_20210218-110857_23200_exp_merge_IROS_6005,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\train\run_20210218-111011_23508_exp_merge_IROS_6010,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\train\run_20210218-111303_12068_exp_merge_IROS_6010,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\test\run_20210218-121519_7348_exp_merge_IROS_5003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210218-164246_20300_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210218-164247_20300_exp_merge_IROS_5003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210218-205814_23200_exp_merge_IROS_6005-test,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\run_20210218-213455_14628_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210218-213456_14628_exp_merge_IROS_5003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210218-213658_6720_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

