out/HighwayEnv/DQNAgent/train/run_20210122-222048_1379_exp_merge_310,exp_merge_310 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= ControlledVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210122-222048_1360_exp_merge_311,exp_merge_311 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= ControlledVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210123-003936_8937_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/run_20210123-003937_8937_exp_merge_300-test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-004421_9331_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-004425_9331_exp_merge_300-test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-004523_9464_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-004546_9464_exp_merge_300-test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-004754_9657_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-004800_9657_exp_merge_300-test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-004955_9862_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-005001_9862_exp_merge_300-test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-033019_13249_exp_merge_301,exp_merge_301 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-033023_13249_exp_merge_301-test,exp_merge_301 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-060901_15851_exp_merge_302,exp_merge_302 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
